ID,Artist,Song
315,Cliff Richards,Ocean deep
1466,Cliff Richards,Summer holiday
1737,Cliff Richards,Constantly
4465,Clout,Substitute
750,Colby Caillat,Bubbly
119,Coldplay,In my place
1241,Coldplay,Hardest part
2173,Coldplay,Viva la vida
4469,Coldplay,Charlie Brown
4474,Coldplay,Warning sign
4477,Coldplay,In my place
4478,Coldplay,Don't panic
4479,Coldplay,Lovers in Japan
1434,Commitments,Mustang Sally
2451,Commitments,Dark end of the street
2342,Commodores,Brick house
4253,Commodores,Three times a lady
2709,Common & John Mayer,Go
51,Connells,74-75
1199,Connie Francis,Lipstick on your collar
1201,Connie Francis,My happiness
1271,Connie Francis,Who's sorry now
5097,Connie Smith,Just For What I Am
5825,Conor Maynard,Animal
3811,Contours,Do you love me
1411,Conway Twitty,It's only make believe
4484,Conway Twitty,Linda on my mind
4487,Conway Twitty,Desperado love
4491,Conway Twitty,Crazy in love
4492,Conway Twitty,I love you more today
4494,Conway Twitty & Loretta Lynn,Lead me on
4495,Conway Twitty & Loretta Lynn,I can't love you enough
4222,Coolio,Gangsta's paradise
4498,Coolio,1234 (sumping new)
2415,Corinne Bailey Rae,Put your records on
1011,Cornelis Vreeswijk,Cecilia Lind
1022,Cornelis Vreeswijk,Somliga g�r i trasiga skor
1518,Cornelis Vreeswijk,H�nan Agda
5666,Cornelis Vreeswijk,Deidres Samba
3521,Cornelius Brothers,Treat her like a lady
4499,Corona,The rythm of the night
2519,Counting Crows,A long December
2549,Counting Crows,Holiday in Spain
2563,Counting Crows,Mr Jones
2575,Counting Crows,Round here
4502,Counting Crows,She don't want nobody near
4504,Counting Crows,Angels of the silences
4506,Counting Crows,A murder of one
4207,Craig David,All the way
2536,Cranberries,Dreams
2559,Cranberries,Linger
2576,Cranberries,Salvation
2600,Cranberries,When you're gone
2606,Cranberries,Zombie
4507,Cranberries,Promises
4508,Cranberries,This is the day
4509,Cranberries,Wake up and smell the coffee
5027,Cranberries,Free to decide
4237,Crash Test Dummies,Mmm mmm mmm mmm
3561,Creed,My sacrifice
5574,Creed,Higher
5578,Creed,Bullet
1554,Creedence Clearwater Revival,Bad moon rising
1555,Creedence Clearwater Revival,Down on the corner
1558,Creedence Clearwater Revival,Lodi
1560,Creedence Clearwater Revival,Who'll stop the rain
1561,Creedence Clearwater Revival,Lookin' out my backdoor
1563,Creedence Clearwater Revival,Long as I can see the light
1565,Creedence Clearwater Revival,Cotton fields
1566,Creedence Clearwater Revival,Born on the bayou
1567,Creedence Clearwater Revival,Hello Mary Lou
1568,Creedence Clearwater Revival,Walking on the water
1569,Creedence Clearwater Revival,Travelin' band
1571,Creedence Clearwater Revival,Have you ever seen the rain
1572,Creedence Clearwater Revival,I put a spell on you
1573,Creedence Clearwater Revival,Molina
1575,Creedence Clearwater Revival,Hey tonight
1576,Creedence Clearwater Revival,Sweet hitch-hiker
1579,Creedence Clearwater Revival,Ooby dooby
1581,Creedence Clearwater Revival,Night time is the right time
1582,Creedence Clearwater Revival,My baby left me
4214,Crowded House,Don't dream it's over
4511,Crowded House,Instinct
4512,Crowded House,It's only natural
4513,Crowded House,Weather with you
4514,Crowded House,Don't stop now
4515,Crowded House,Pineapple head
4516,Crowded House,Sister Madly
4517,Crowded House,World where you live
4518,Crowded House,Something so strong
4519,Crowded House,Better be home soon
4521,Crowded House,Fall at your feet
4522,Crowded House,Four seasons in one day
1244,Crystal Gayle,Don't it make my brown eyes blue
1252,Crystal Gayle,Talking in your sleep
1067,Cue,Burning
4523,Culture Beat,Mr Vain
4524,Culture Beat,Anything
4525,Culture beat,Take me away
56,Culture Club,Karma chameleon
2531,Culture Club,Church of the poison mind
2562,Culture Club,Miss me blind
4239,Curtis Mayfield,Move on up
3762,Curtis Stigers,I wonder why
8,Cyndi Lauper,Girls just wanna have fun
2596,Cyndi Lauper,True colours
764,D'Sound,Ain't giving up
680,Da Buzz,Dangerous
3558,Dag Vag,Popitop
4526,Damn Yankees,High enough
1672,Damned,Alone again
292,Dan Hill,Sometimes when we touch
259,Dana Secada,Angel queen
1639,Daniel Bedingfield,The way
